Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
4/7/2025 16:34:06,55 -64,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Health care,Improved healthcare,Privacy issues,Unsure,Neither,Somewhat positive,No
4/7/2025 16:34:06,35 - 44,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Unsure,Neutral,Yes
4/7/2025 16:34:07,18 - 24,Somewhat familiar,No,Online shopping recommendations,Completely distrust,No,No,Entertainment,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 16:34:07,18 - 24,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Not sure,Notsure,Education,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Improve,Very positive,No
4/7/2025 16:34:08,18 - 24,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Transportation,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Improve,Very negative,Yes
4/7/2025 16:34:09,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely distrust,Yes,No,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Somewhat positive,No
4/7/2025 16:34:09,35 - 44,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,No,Yes,Education,Improved healthcare,Privacy issues,"No, AI should be developed freely",Neither,Neutral,No
4/7/2025 16:34:10,45 - 54,Somewhat familiar,No,Online shopping recommendations,Completely distrust,No,Notsure,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat negative,No
4/7/2025 16:34:11,Under 18,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Education,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/7/2025 16:34:11,35 - 44,Not familiar at all,No,"Email filtering (e.g., spam detection)",Completely distrust,Yes,Yes,Education,More efficient work processes,Privacy issues,"No, AI should be developed freely",Neither,Somewhat negative,No
4/7/2025 16:34:10,55 -64,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,Notsure,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Unsure,Very positive,Yes
4/7/2025 16:34:12,25 - 34,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Yes,Notsure,Business and finance,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Somewhat negative,No
4/7/2025 16:34:12,35 - 44,Very familiar,No,Online shopping recommendations,Neutral,No,No,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Very negative,Yes
4/7/2025 16:34:13,Under 18,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Yes,Notsure,Transportation,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat negative,No
4/7/2025 16:34:14,25 - 34,Very familiar,Yes,Online shopping recommendations,Somewhat trust,No,Yes,Transportation,Improved healthcare,AI becoming too autonomous,"No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 16:34:14,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,Yes,Business and finance,Increased convenience,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Very positive,Yes
4/7/2025 16:34:15,Under 18,Not familiar at all,Yes,Online shopping recommendations,Completely distrust,Yes,No,Health care,Improved healthcare,"Security risks (e.g., AI hacking)",Unsure,Neither,Neutral,Yes
4/7/2025 16:34:15,25 - 34,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Very negative,No
4/7/2025 16:34:16,Under 18,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,No,Notsure,Entertainment,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 16:34:17,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Transportation,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Unsure,Neutral,Yes
4/7/2025 16:34:17,18 - 24,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Health care,Improved healthcare,Privacy issues,"No, AI should be developed freely",Worsen,Very positive,No
4/7/2025 16:34:18,35 - 44,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,Notsure,Entertainment,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/7/2025 16:34:18,25 - 34,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Notsure,Entertainment,More efficient work processes,Privacy issues,"No, AI should be developed freely",Worsen,Neutral,Yes
4/7/2025 16:34:19,35 - 44,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Neutral,No
4/7/2025 16:34:19,18 - 24,Not familiar at all,No,"Email filtering (e.g., spam detection)",Neutral,Not sure,No,Education,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Worsen,Neutral,No
4/7/2025 16:34:20,55 -64,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,Notsure,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)",Unsure,Worsen,Very negative,Yes
4/7/2025 16:34:20,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Transportation,Improved healthcare,AI becoming too autonomous,Unsure,Worsen,Somewhat positive,No
4/7/2025 16:34:21,35 - 44,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Entertainment,Improved healthcare,Privacy issues,"No, AI should be developed freely",Unsure,Very positive,No
4/7/2025 16:34:21,18 - 24,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Not sure,No,Entertainment,Improved healthcare,Privacy issues,"Yes, strict regulations",Unsure,Somewhat positive,Yes
4/7/2025 16:34:22,35 - 44,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,Yes,Business and finance,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Improve,Somewhat negative,No
4/7/2025 16:34:23,Under 18,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,Yes,Entertainment,More efficient work processes,Privacy issues,"Yes, strict regulations",Worsen,Very positive,No
4/7/2025 16:34:23,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,No,Education,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, strict regulations",Improve,Somewhat positive,No
4/7/2025 16:34:24,45 - 54,Not familiar at all,No,"Email filtering (e.g., spam detection)",Neutral,No,Notsure,Health care,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Improve,Neutral,Yes
4/7/2025 16:34:24,Under 18,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat negative,Yes
4/7/2025 16:34:25,Under 18,Very familiar,No,Online shopping recommendations,Somewhat distrust,Not sure,Notsure,Education,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Improve,Neutral,Yes
4/7/2025 16:34:25,45 - 54,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Yes,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Very positive,Yes
4/7/2025 16:34:26,35 - 44,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,No,Health care,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Somewhat positive,No
4/7/2025 16:34:27,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Health care,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 16:34:27,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Completely trust,No,No,Education,Increased convenience,Privacy issues,"No, AI should be developed freely",Neither,Very negative,Yes
4/7/2025 16:34:28,18 - 24,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Not sure,Notsure,Transportation,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat negative,No
4/7/2025 16:34:28,25 - 34,Somewhat familiar,No,Online shopping recommendations,Neutral,Not sure,No,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Neutral,Yes
4/7/2025 16:34:30,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Worsen,Very positive,Yes
4/7/2025 16:34:29,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,Yes,Notsure,Business and finance,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Unsure,Neutral,Yes
4/7/2025 16:34:30,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,No,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Somewhat negative,No
4/7/2025 16:34:31,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,Yes,Entertainment,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Very negative,No
4/7/2025 16:34:31,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,No,No,Education,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Worsen,Very negative,No
4/7/2025 16:34:32,Under 18,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,Yes,Transportation,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/7/2025 16:34:32,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,No,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Somewhat negative,Yes
4/7/2025 16:34:33,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Business and finance,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/7/2025 16:34:33,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Neutral,No
4/7/2025 16:34:34,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Health care,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Neither,Neutral,No
4/7/2025 16:34:35,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Notsure,Entertainment,Improved healthcare,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat negative,No
4/7/2025 16:34:35,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,Yes,No,Business and finance,Increased convenience,Privacy issues,"Yes, strict regulations",Neither,Very positive,Yes
4/7/2025 16:34:36,18 - 24,Very familiar,No,Online shopping recommendations,Somewhat trust,Yes,No,Business and finance,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat negative,No
4/7/2025 16:34:36,Under 18,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,Yes,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Very negative,No
4/7/2025 16:34:37,18 - 24,Very familiar,No,Online shopping recommendations,Completely distrust,Yes,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Very negative,Yes
4/7/2025 16:34:37,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Somewhat trust,Not sure,No,Health care,Better education and learning opportunities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat positive,Yes
4/7/2025 16:34:38,55 -64,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,No,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Neutral,Yes
4/7/2025 16:34:39,Under 18,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Not sure,Notsure,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)",Unsure,Unsure,Neutral,Yes
4/7/2025 16:34:39,18 - 24,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Transportation,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Worsen,Neutral,Yes
4/7/2025 16:34:40,25 - 34,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,No,Entertainment,Increased convenience,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Neutral,Yes
4/7/2025 16:34:40,35 - 44,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,Yes,Business and finance,Improved healthcare,Privacy issues,"No, AI should be developed freely",Worsen,Neutral,Yes
4/7/2025 16:34:41,Under 18,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Business and finance,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 16:34:41,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,No,No,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Unsure,Neutral,Yes
4/7/2025 16:34:42,55 -64,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,No,Yes,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/7/2025 16:34:43,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,Yes,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Very negative,No
4/7/2025 16:34:42,55 -64,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,No,No,Transportation,Better education and learning opportunities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Neutral,No
4/7/2025 16:34:44,35 - 44,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Very negative,Yes
4/7/2025 16:34:44,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Transportation,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Improve,Very positive,No
4/7/2025 16:34:45,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Neutral,Not sure,Yes,Transportation,Greater accessibility for people with disabilities,Privacy issues,"Yes, strict regulations",Neither,Somewhat negative,No
4/7/2025 16:34:45,35 - 44,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Somewhat positive,Yes
4/7/2025 16:34:46,35 - 44,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Yes,No,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Unsure,Somewhat negative,No
4/7/2025 16:34:46,Under 18,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Very negative,No
4/7/2025 16:34:47,45 - 54,Very familiar,No,Online shopping recommendations,Neutral,No,Yes,Transportation,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Very positive,No
4/7/2025 16:34:48,25 - 34,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,No,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Neutral,No
4/7/2025 16:34:48,Under 18,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Yes,Notsure,Transportation,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/7/2025 16:34:49,Under 18,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,No,Yes,Transportation,Improved healthcare,Job loss and unemployment,"No, AI should be developed freely",Improve,Neutral,Yes
4/7/2025 16:34:49,25 - 34,Very familiar,Yes,Online shopping recommendations,Neutral,Not sure,No,Transportation,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Unsure,Neutral,No
4/7/2025 16:34:50,25 - 34,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,No,Entertainment,Improved healthcare,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
4/7/2025 16:34:50,45 - 54,Not familiar at all,No,"Email filtering (e.g., spam detection)",Neutral,Yes,Notsure,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Very positive,Yes
4/7/2025 16:34:51,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,No,Health care,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/7/2025 16:34:51,18 - 24,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Entertainment,More efficient work processes,Job loss and unemployment,Unsure,Neither,Very negative,Yes
4/7/2025 16:34:52,35 - 44,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,Yes,Yes,Education,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Neutral,No
4/7/2025 16:34:53,45 - 54,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,No,Notsure,Business and finance,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Neutral,Yes
4/7/2025 16:34:53,35 - 44,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,No,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Neutral,Yes
4/7/2025 16:34:54,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,No,Transportation,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Unsure,Neutral,Yes
4/7/2025 16:34:54,55 -64,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Notsure,Education,Improved healthcare,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Somewhat negative,Yes
4/7/2025 16:34:55,Under 18,Very familiar,No,Online shopping recommendations,Neutral,No,Yes,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat negative,Yes
4/7/2025 16:34:55,35 - 44,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Notsure,Transportation,Increased convenience,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Very positive,No
4/7/2025 16:34:56,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Completely distrust,Yes,Notsure,Business and finance,Greater accessibility for people with disabilities,Privacy issues,Unsure,Worsen,Somewhat positive,No
4/7/2025 16:34:57,Under 18,Very familiar,No,Online shopping recommendations,Somewhat trust,No,Notsure,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Very negative,Yes
4/7/2025 16:34:57,45 - 54,Somewhat familiar,No,Online shopping recommendations,Completely distrust,No,No,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Improve,Somewhat negative,Yes
4/7/2025 16:34:58,45 - 54,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Neither,Very negative,No
4/7/2025 16:34:58,Under 18,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Transportation,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 16:34:59,35 - 44,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Neutral,No
4/7/2025 16:34:59,18 - 24,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Transportation,Increased convenience,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Very positive,No
4/7/2025 16:35:00,Under 18,Not familiar at all,No,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Neutral,No
4/7/2025 16:35:00,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Yes,No,Business and finance,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Very negative,No
4/7/2025 16:35:01,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Somewhat trust,Yes,Notsure,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat negative,Yes
4/7/2025 16:35:01,45 - 54,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,No,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,No
4/7/2025 16:35:02,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Neutral,Yes,No,Health care,More efficient work processes,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 16:35:03,45 - 54,Somewhat familiar,No,Online shopping recommendations,Completely trust,No,No,Entertainment,Increased convenience,Privacy issues,"No, AI should be developed freely",Improve,Very positive,No
4/7/2025 16:35:03,18 - 24,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Transportation,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Neutral,No
4/7/2025 16:35:04,18 - 24,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,No,Health care,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Neutral,No
4/7/2025 16:35:05,35 - 44,Somewhat familiar,No,Online shopping recommendations,Somewhat distrust,Yes,No,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Very negative,Yes
4/7/2025 16:35:05,18 - 24,Very familiar,Yes,Online shopping recommendations,Somewhat trust,Not sure,Notsure,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat negative,No
4/7/2025 16:35:06,35 - 44,Not familiar at all,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,No
4/7/2025 16:35:06,35 - 44,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,No,Entertainment,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Improve,Neutral,Yes
4/7/2025 16:35:07,45 - 54,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,No,Yes,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Very positive,No
4/7/2025 16:35:08,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat distrust,No,No,Education,More efficient work processes,AI becoming too autonomous,Unsure,Worsen,Somewhat positive,No
4/7/2025 16:35:08,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Education,Improved healthcare,Privacy issues,Unsure,Improve,Neutral,Yes
4/7/2025 16:35:09,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Completely trust,No,No,Education,Improved healthcare,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat negative,No
4/7/2025 16:35:09,Under 18,Very familiar,Yes,"Email filtering (e.g., spam detection)",Completely distrust,No,No,Transportation,More efficient work processes,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Very negative,No
4/7/2025 16:35:10,55 -64,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Yes,Yes,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 16:35:10,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,Notsure,Business and finance,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Unsure,Somewhat negative,No
4/7/2025 16:35:11,45 - 54,Very familiar,No,Online shopping recommendations,Somewhat distrust,Not sure,Notsure,Education,Increased convenience,Job loss and unemployment,Unsure,Worsen,Neutral,Yes
4/7/2025 16:35:11,18 - 24,Somewhat familiar,No,Online shopping recommendations,Neutral,No,No,Business and finance,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat negative,No
4/7/2025 16:35:12,25 - 34,Somewhat familiar,No,Online shopping recommendations,Somewhat trust,No,No,Business and finance,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
4/7/2025 16:35:13,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,No,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Neutral,Yes
4/7/2025 16:35:13,25 - 34,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,No,Education,Better education and learning opportunities,AI becoming too autonomous,"No, AI should be developed freely",Neither,Very negative,Yes
